Epoch  90 | Time     4 | Train Loss 3.7208 | Test Loss 5.450 | Test Error 100.00
Epoch  41 | Time     4 | Train Loss 5.8116 | Test Loss 5.864 | Test Error 99.99
Epoch  91 | Time     4 | Train Loss 3.7256 | Test Loss 5.450 | Test Error 100.00
Epoch  42 | Time     5 | Train Loss 5.8213 | Test Loss 5.847 | Test Error 99.99
Epoch  92 | Time     4 | Train Loss 3.6669 | Test Loss 5.450 | Test Error 100.00
Epoch  93 | Time     4 | Train Loss 3.6709 | Test Loss 5.450 | Test Error 100.00
Epoch  43 | Time     4 | Train Loss 5.8004 | Test Loss 5.837 | Test Error 99.99
Epoch  94 | Time     4 | Train Loss 3.6569 | Test Loss 5.449 | Test Error 100.00
Epoch  44 | Time     4 | Train Loss 5.8055 | Test Loss 5.824 | Test Error 99.99
Epoch  95 | Time     4 | Train Loss 3.6473 | Test Loss 5.449 | Test Error 100.00
Epoch  45 | Time     4 | Train Loss 5.8062 | Test Loss 5.801 | Test Error 99.99
Epoch  96 | Time     4 | Train Loss 3.6219 | Test Loss 5.449 | Test Error 100.00
Epoch  46 | Time     4 | Train Loss 5.7934 | Test Loss 5.782 | Test Error 99.99
Epoch  97 | Time     4 | Train Loss 3.6240 | Test Loss 5.448 | Test Error 100.00
Epoch  47 | Time     4 | Train Loss 5.8014 | Test Loss 5.766 | Test Error 99.99
Epoch  98 | Time     4 | Train Loss 3.6180 | Test Loss 5.448 | Test Error 100.00
Epoch  48 | Time     4 | Train Loss 5.7604 | Test Loss 5.754 | Test Error 99.99
Epoch  99 | Time     4 | Train Loss 3.6050 | Test Loss 5.448 | Test Error 100.00
Epoch  49 | Time     4 | Train Loss 5.7741 | Test Loss 5.743 | Test Error 99.99
Epoch 100 | Time     4 | Train Loss 3.5955 | Test Loss 5.448 | Test Error 100.00
Epoch  50 | Time     4 | Train Loss 5.7491 | Test Loss 5.725 | Test Error 99.99
Epoch  51 | Time     4 | Train Loss 5.7509 | Test Loss 5.704 | Test Error 99.99
Epoch  52 | Time     4 | Train Loss 5.7738 | Test Loss 5.687 | Test Error 99.99
Epoch  53 | Time     5 | Train Loss 5.7433 | Test Loss 5.678 | Test Error 99.99
Epoch  54 | Time     5 | Train Loss 5.7525 | Test Loss 5.680 | Test Error 99.99
Epoch  55 | Time     4 | Train Loss 5.7483 | Test Loss 5.670 | Test Error 99.99
Epoch  56 | Time     4 | Train Loss 5.7417 | Test Loss 5.656 | Test Error 99.99
Epoch  57 | Time     4 | Train Loss 5.7160 | Test Loss 5.649 | Test Error 99.99
Epoch  58 | Time     4 | Train Loss 5.7048 | Test Loss 5.650 | Test Error 99.99
