epoch,time(s),train_loss,test_loss,test_error(%)
383,00004,2.608857,5.31112,99.99
384,00004,2.627332,5.31353,99.99
385,00004,2.653953,5.31501,100.00
386,00004,2.622203,5.31584,100.00
387,00004,2.628943,5.31324,99.99
388,00004,2.675339,5.31290,99.99
389,00004,2.600950,5.31333,100.00
390,00004,2.672762,5.31141,99.98
391,00004,2.533334,5.31060,99.99
392,00004,2.567067,5.31261,99.99
393,00004,2.533080,5.31394,100.00
394,00004,2.544301,5.31190,100.00
395,00005,2.605650,5.31069,99.99
396,00004,2.578155,5.31316,100.00
397,00004,2.620927,5.31856,100.00
398,00004,2.625418,5.32173,100.00
399,00004,2.669364,5.32342,100.00
400,00004,2.652289,5.32268,100.00
401,00004,2.586248,5.31606,99.99
402,00004,2.522160,5.31254,99.99
403,00004,2.519874,5.31131,99.99
404,00004,2.628114,5.31405,99.98
405,00004,2.531929,5.31558,99.99
406,00004,2.566409,5.31354,99.98
407,00005,2.592123,5.31336,99.98
408,00004,2.512268,5.31460,99.98
409,00004,2.597733,5.31513,99.99
410,00004,2.478405,5.31520,100.00
411,00005,2.637891,5.31677,99.99
412,00004,2.578796,5.31945,99.99
413,00004,2.557787,5.32123,100.00
414,00004,2.554163,5.32175,99.99
415,00004,2.688569,5.32287,100.00
416,00004,2.518845,5.32344,100.00
417,00004,2.577604,5.32313,100.00
418,00004,2.535461,5.32227,100.00
419,00004,2.579521,5.32052,100.00
420,00004,2.541200,5.31984,100.00
421,00004,2.557954,5.31853,100.00
422,00004,2.549597,5.31641,100.00
423,00004,2.549986,5.31579,100.00
424,00004,2.519384,5.31581,100.00
425,00004,2.545131,5.31718,100.00
426,00004,2.540548,5.31906,100.00
427,00004,2.568394,5.32178,100.00
428,00004,2.515334,5.32273,100.00
429,00004,2.572854,5.31989,100.00
430,00004,2.486437,5.31900,100.00
431,00004,2.537903,5.32081,100.00
432,00004,2.542594,5.31979,99.99
433,00004,2.580346,5.32110,99.99
434,00004,2.601501,5.32211,99.99
435,00005,2.441002,5.32154,99.99
436,00004,2.567102,5.31918,99.99
437,00004,2.538143,5.31783,99.99
438,00004,2.550257,5.31986,100.00
439,00004,2.522522,5.32017,100.00
440,00004,2.545190,5.32206,100.00
441,00004,2.570404,5.32186,99.99
442,00004,2.486081,5.32267,100.00
443,00004,2.531186,5.32406,99.99
444,00004,2.476996,5.32615,100.00
445,00004,2.555606,5.32822,100.00
446,00004,2.499007,5.32716,99.99
447,00004,2.552903,5.32612,99.99
448,00004,2.408741,5.32748,100.00
449,00004,2.454333,5.32687,100.00
450,00004,2.462641,5.32970,100.00
451,00004,2.543762,5.33118,100.00
452,00004,2.498663,5.32951,100.00
453,00004,2.437109,5.32925,100.00
454,00005,2.483684,5.32873,100.00
455,00004,2.487457,5.32856,100.00
456,00004,2.438110,5.32829,100.00
457,00004,2.392209,5.32771,100.00
458,00004,2.478399,5.32698,100.00
459,00004,2.472322,5.32454,99.99
460,00004,2.524076,5.32509,100.00
461,00004,2.472845,5.32547,100.00
462,00004,2.421203,5.32274,100.00
463,00004,2.430328,5.31804,100.00
464,00004,2.468052,5.31653,100.00
465,00004,2.439075,5.31778,100.00
466,00004,2.443374,5.32350,100.00
467,00004,2.424389,5.32828,100.00
468,00004,2.518690,5.33002,100.00
469,00004,2.497196,5.32851,100.00
470,00004,2.447369,5.33016,100.00
471,00004,2.433668,5.33007,100.00
472,00004,2.490165,5.33222,100.00
473,00004,2.476579,5.33128,100.00
474,00004,2.502485,5.33115,100.00
475,00004,2.413136,5.33233,100.00
476,00004,2.454604,5.33185,100.00
477,00004,2.395601,5.33293,100.00
478,00004,2.525913,5.33348,100.00
479,00004,2.499453,5.33223,100.00
480,00004,2.467319,5.33418,100.00
481,00004,2.427901,5.33642,100.00
482,00004,2.523705,5.33768,99.99
483,00004,2.443022,5.33445,99.99
484,00004,2.526323,5.33303,99.99
485,00004,2.455714,5.33037,99.99
486,00004,2.393214,5.32700,99.99
487,00004,2.434714,5.32484,99.99
488,00004,2.484671,5.32464,99.98
489,00004,2.402510,5.32540,99.98
490,00004,2.451596,5.32741,99.98
491,00004,2.443272,5.32809,99.98
492,00004,2.463855,5.32860,99.98
493,00004,2.510235,5.32562,100.00
494,00004,2.428598,5.32186,100.00
495,00004,2.445917,5.31847,99.99
496,00004,2.476106,5.31571,99.99
497,00004,2.513397,5.31307,99.99
498,00004,2.418576,5.31317,99.99
499,00004,2.428649,5.31478,99.99
500,00004,2.459362,5.31838,99.99
501,00004,2.413560,5.32040,99.99
502,00004,2.461755,5.32322,100.00
503,00004,2.460248,5.32615,100.00
504,00004,2.444158,5.32605,100.00
505,00004,2.435781,5.32542,99.99
506,00004,2.397299,5.32575,99.99
507,00004,2.428324,5.32639,99.99
508,00004,2.436288,5.32661,99.99
509,00004,2.463128,5.32567,99.99
510,00005,2.399286,5.32950,99.99
511,00004,2.312357,5.33082,99.99
512,00004,2.467667,5.33236,99.99
513,00004,2.419648,5.33294,99.99
514,00004,2.383770,5.33070,99.99
515,00004,2.365567,5.32905,99.99
516,00004,2.350962,5.32612,99.99
517,00004,2.437146,5.32393,99.99
518,00004,2.436081,5.31976,99.99
519,00004,2.389879,5.31475,99.98
520,00004,2.438435,5.31356,99.97
521,00004,2.460209,5.31686,99.99
522,00004,2.419028,5.31940,99.99
523,00004,2.370395,5.32526,99.99
524,00004,2.433310,5.32868,100.00
525,00004,2.374851,5.32913,100.00
526,00004,2.526326,5.32550,99.99
527,00004,2.392765,5.32214,99.99
528,00004,2.479934,5.31895,99.99
529,00004,2.302616,5.31799,100.00
530,00004,2.445466,5.31979,99.98
531,00004,2.364269,5.31894,99.99
532,00004,2.381886,5.31714,99.99
533,00004,2.313428,5.31446,99.99
534,00004,2.349920,5.31678,99.98
535,00004,2.351620,5.31685,99.98
536,00005,2.326905,5.32020,99.98
537,00005,2.405490,5.32458,99.99
538,00004,2.325500,5.32873,99.99
539,00004,2.312992,5.33379,100.00
540,00005,2.383598,5.33667,100.00
541,00004,2.347632,5.33569,100.00
542,00004,2.346574,5.33284,100.00
543,00004,2.359475,5.33144,100.00
544,00004,2.439293,5.32945,100.00
545,00004,2.289458,5.32685,100.00
546,00004,2.300851,5.32198,99.98
547,00004,2.359522,5.31879,99.99
548,00004,2.282252,5.31784,99.99
549,00004,2.407581,5.31681,99.99
550,00004,2.386967,5.31434,99.99
551,00004,2.374717,5.31301,99.99
552,00005,2.399325,5.31529,99.99
553,00004,2.321231,5.31694,99.99
554,00004,2.344211,5.31957,99.99
555,00004,2.373219,5.31998,100.00
556,00004,2.292724,5.31384,99.99
557,00004,2.323132,5.30871,99.99
558,00004,2.346764,5.30506,99.99
559,00004,2.396119,5.30365,99.99
560,00004,2.368182,5.30598,99.99
561,00004,2.369187,5.30503,99.99
562,00004,2.399315,5.30483,99.98
563,00004,2.419512,5.30930,99.98
564,00004,2.334878,5.31226,99.99
565,00004,2.398094,5.31295,99.99
566,00004,2.361228,5.31399,99.98
567,00004,2.314641,5.31582,99.99
568,00004,2.315136,5.32124,99.99
569,00004,2.391125,5.32835,100.00
570,00004,2.320510,5.33130,99.99
571,00004,2.346859,5.33349,99.99
