Epoch  80 | Time     4 | Train Loss 4.4877 | Test Loss 5.443 | Test Error 100.00
Epoch  57 | Time     4 | Train Loss 5.8009 | Test Loss 5.684 | Test Error 99.99
Epoch  81 | Time     4 | Train Loss 4.4347 | Test Loss 5.441 | Test Error 100.00
Epoch  58 | Time     4 | Train Loss 5.8113 | Test Loss 5.680 | Test Error 99.99
Epoch  82 | Time     4 | Train Loss 4.3467 | Test Loss 5.440 | Test Error 100.00
Epoch  59 | Time     5 | Train Loss 5.7689 | Test Loss 5.677 | Test Error 99.99
Epoch  83 | Time     4 | Train Loss 4.2709 | Test Loss 5.438 | Test Error 100.00
Epoch  60 | Time     4 | Train Loss 5.7686 | Test Loss 5.670 | Test Error 99.99
Epoch  84 | Time     4 | Train Loss 4.2164 | Test Loss 5.437 | Test Error 100.00
Epoch  61 | Time     4 | Train Loss 5.7485 | Test Loss 5.669 | Test Error 99.99
Epoch  85 | Time     4 | Train Loss 4.1826 | Test Loss 5.436 | Test Error 100.00
Epoch  62 | Time     4 | Train Loss 5.7661 | Test Loss 5.670 | Test Error 99.99
Epoch  86 | Time     4 | Train Loss 4.1380 | Test Loss 5.435 | Test Error 100.00
Epoch  63 | Time     4 | Train Loss 5.7265 | Test Loss 5.675 | Test Error 99.99
Epoch  87 | Time     4 | Train Loss 4.0822 | Test Loss 5.434 | Test Error 100.00
Epoch  64 | Time     5 | Train Loss 5.7442 | Test Loss 5.672 | Test Error 99.99
Epoch  88 | Time     4 | Train Loss 4.0446 | Test Loss 5.433 | Test Error 100.00
Epoch  65 | Time     4 | Train Loss 5.7515 | Test Loss 5.666 | Test Error 99.99
Epoch  89 | Time     4 | Train Loss 3.9888 | Test Loss 5.432 | Test Error 100.00
Epoch  66 | Time     5 | Train Loss 5.7382 | Test Loss 5.652 | Test Error 99.99
Epoch  90 | Time     4 | Train Loss 3.9134 | Test Loss 5.431 | Test Error 100.00
Epoch  67 | Time     4 | Train Loss 5.7186 | Test Loss 5.632 | Test Error 99.99
Epoch  91 | Time     4 | Train Loss 3.8900 | Test Loss 5.428 | Test Error 100.00
Epoch  68 | Time     4 | Train Loss 5.7428 | Test Loss 5.616 | Test Error 99.99
Epoch  92 | Time     4 | Train Loss 3.8969 | Test Loss 5.426 | Test Error 100.00
Epoch  69 | Time     5 | Train Loss 5.7117 | Test Loss 5.609 | Test Error 99.99
Epoch  93 | Time     4 | Train Loss 3.8610 | Test Loss 5.423 | Test Error 100.00
Epoch  70 | Time     4 | Train Loss 5.7133 | Test Loss 5.601 | Test Error 99.99
Epoch  94 | Time     4 | Train Loss 3.8076 | Test Loss 5.421 | Test Error 100.00
Epoch  71 | Time     4 | Train Loss 5.7131 | Test Loss 5.604 | Test Error 99.99
Epoch  95 | Time     4 | Train Loss 3.8118 | Test Loss 5.420 | Test Error 100.00
Epoch  72 | Time     4 | Train Loss 5.6896 | Test Loss 5.594 | Test Error 99.99
Epoch  96 | Time     4 | Train Loss 3.8088 | Test Loss 5.421 | Test Error 100.00
Epoch  73 | Time     4 | Train Loss 5.6735 | Test Loss 5.589 | Test Error 99.98
Epoch  97 | Time     5 | Train Loss 3.8077 | Test Loss 5.420 | Test Error 100.00
Epoch  74 | Time     5 | Train Loss 5.6687 | Test Loss 5.584 | Test Error 99.98
Epoch  98 | Time     4 | Train Loss 3.7341 | Test Loss 5.421 | Test Error 100.00
Epoch  75 | Time     5 | Train Loss 5.6737 | Test Loss 5.572 | Test Error 99.97
Epoch  99 | Time     4 | Train Loss 3.7582 | Test Loss 5.421 | Test Error 100.00
Epoch  76 | Time     4 | Train Loss 5.6883 | Test Loss 5.560 | Test Error 99.97
Epoch 100 | Time     4 | Train Loss 3.7134 | Test Loss 5.421 | Test Error 100.00
Epoch  77 | Time     4 | Train Loss 5.6593 | Test Loss 5.557 | Test Error 99.97
Epoch 101 | Time     4 | Train Loss 3.6995 | Test Loss 5.421 | Test Error 100.00
